"Richesse";"Long";"Lat";"SableF";"LimonF";"LimonG";"Argile";"C_org";"C.N";"pH_eau";"OS";"Sables";"SableG";"Limons";"MO";"C_tot";"N_tot"
2;5,21441600017076;47,100303499203;186;208;303;234;10,3645770645141;9,3;8,01;"OS_214";255;69;511;17,9;10,6045770645141;1,1140239238739
2;5,20751333355009;47,2500041676232;77;284;126;426;25,54;8,93;8,18;"OS_214";164;87;410;44,2;63,94;2,86
1,75;4,78576221625333;47,4039011408032;43;456;121;286;30,96;9,8;7,99;"OS_214";137;94;577;53,6;42,24;3,16
2;5,35500600041932;47,4096281683066;46;392;292;247;10,6;10,1;6,54;"OS_214";69;23;684;18,3;10,63;1,05
2;5,33585672085813;47,1580670281136;62;248;108;400;24,8087356567383;8,67;8,16;"OS_214";244;182;356;42,9;50,0087356567383;2,86242872476578
2;5,29149083274755;47,0537816642993;77;363;320;172;8,15;9,61;6,57;"OS_214";145;68;683;14,1;8,15322518348694;0,848415940999985
2;5,35857716613307;47,4649613327145;27;399;248;308;13,8643682003021;9,56;7,39;"OS_214";45;18;647;24;13,8643682003021;1,45006284117699
2;4,93362633355407;47,4117433301644;29;315;109;507;26,6414648628235;10;8,02;"OS_214";69;40;424;46,1;30,4814648628235;2,65627771615982
2;5,20372733348553;47,2896416670557;41;282;142;418;23,4286978149414;9,63;8,18;"OS_214";158;117;424;40,5;41,1886978149414;2,43301153182983
1,75;5,42808833343247;47,3838125011695;85;273;202;334;12,7190250015259;9,28;8,16;"OS_214";191;106;475;22;15,3590250015259;1,37025371193886
2;5,189597166814;47,459793334195;30;339;211;398;14,5143020153046;9,68;7,22;"OS_214";52;22;550;25,1;14,5143020153046;1,49949789047241
2;5,13818666723248;47,3919471679814;53;366;243;300;13,1685197353363;10;6,39;"OS_214";91;38;609;22,8;13,1685197353363;1,31513014435768
2;5,13011231600448;47,3982579803058;111;327;132;237;14,0033333333333;8,92;8,4;"OS_214";304;193;459;24,2;115,443333333333;1,57
2;4,64669049950595;47,271796336967;38;358;160;420;36,8339810562134;9,8;6,88;"OS_210";62;24;518;63,7;37,3139810562134;3,7592750787735
2;4,97688643173553;47,249200723689;82;267;194;407;14,3591539669037;11,2;8,32;"OS_218";132;50;461;24,8;19,8791539669037;1,28734037280083
1,75;4,95781972781542;47,1885708053149;60;268;143;416;24,5885985183716;10,8;8,15;"OS_218";173;113;411;42,5;46,3085985183716;2,27839395403862
2;4,99526749949542;47,2725231622711;77;244;167;379;33,0740548706055;13,8;7,96;"OS_218";210;133;411;57,2;54,9140548706055;2,39333391189575
1,75;4,9667056665222;47,2437005009306;91;183;129;360;14,2015836715698;9,4;8,3;"OS_218";328;237;312;24,6;54,4015836715698;1,51108890771865
2;4,83717966709073;47,1425000008645;121;218;143;336;20,9041180801391;10,4;8,24;"OS_218";303;182;361;36,2;48,3841180801391;2,00647294521331
2;4,84875800061389;47,1402040028867;195;187;219;249;12,9192770767211;10,6;8,34;"OS_218";345;150;406;22,4;55,0392770767211;1,21626012027263
1,75;4,96620766642679;47,3172148355624;98;192;114;449;21,1010958099365;10,6;8,29;"OS_218";245;147;306;36,5;66,4610958099365;1,98996782302856
2,5;5,20498738339323;47,2771876053979;36;360;227;344;14,7852387809753;9,25;8,13;"OS_214";69;33;587;25,6;18,7452387809753;1,59894615411758
2,25;5,22159046949297;47,2650756551301;50;322;102;355;29,6840072250366;8,49;8,2;"OS_214";221;171;424;51,4;64,1240072250366;3,49429249763488
2,25;5,22947283324332;47,2644384971904;39;383;272;297;12,4185749340057;9,35;7,17;"OS_214";48;9;655;21,5;12,5385749340057;1,32819071412086
2,25;5,21926401500061;47,2629371146043;71;318;111;303;30,4688372039794;9,45;8,21;"OS_210";268;197;429;52,7;77,0288372039794;3,22290569543838
2,25;4,5983490000311;47,2896984966688;71;307;155;306;20,4418775558472;10,2;8,23;"OS_111";232;161;462;35,4;73,2418775558472;2,01094135642052
2,5;4,60094432145603;47,2781058150258;42;295;92;343;32,0494738769531;9,84;8,06;"OS_214";270;228;387;55,4;61,9294738769531;3,25659155845642
2,5;4,60456633331096;47,2860623298961;25;402;118;421;29,8062503433228;9,28;7,85;"OS_214";59;34;520;51,6;33,0462503433228;3,21239143610001
2,25;4,5906392692573;47,2815228962795;53;246;142;392;26,6069919204712;9,67;8,06;"OS_214";220;167;388;46;60,4469919204712;2,75129586458206
2,25;4,59410433333651;47,2802626657633;35;289;147;511;22,9174368476868;9,91;6,93;"OS_214";53;18;436;39,6;23,1574368476868;2,31185033917427
2,5;4,59964333317219;47,2836394991539;28;325;136;497;23,1851818847656;9,66;7,64;"OS_214";42;14;461;40,1;23,9051818847656;2,40075021982193
2,25;4,5964126673186;47,2804371694808;28;346;142;467;22,3944147872925;9,89;7,13;"OS_214";45;17;488;38,7;22,5144147872925;2,26443603634834
2,5;4,59311649975579;47,2777201636168;34;335;132;438;27,5499808120728;9,95;7,99;"OS_214";95;61;467;47,7;34,8699808120728;2,76767015457153
2,25;4,58888583051432;47,2780896694141;40;359;170;415;22,0005576705933;10,1;7,07;"OS_214";56;16;529;38,1;22,2405576705933;2,17783778905869
2,25;4,58907316622235;47,277529665137;35;311;145;492;23,2209206962585;9,48;7,33;"OS_214";52;17;456;40,2;23,5809206962585;2,448810338974
2,5;4,59784016602856;47,2771263311721;15;387;87;335;39,0768493652344;9,2;8,02;"OS_214";191;176;474;67,6;57,6768493652344;4,2497444152832
2,25;4,60061083369056;47,2880026693251;24;342;116;458;28,8956065750122;8,95;8,02;"OS_214";84;60;458;50;36,3356065750122;3,2280421257019
2,5;4,60023944689955;47,2905801273916;17;502;200;244;75,4876873779297;10,3;7,64;"OS_210";54;37;702;131;79,2076873779297;7,36434161663055
2,25;4,59929166630939;47,2782663306671;23;362;118;446;36,0249276733398;9,74;7,97;"OS_210";74;51;480;62,3;43,4649276733398;3,69878798723221
2,25;4,84212000023756;47,2994119960212;35;237;195;529;56,8615851593018;14,3;7,13;"OS_111";39;4;432;98,4;57,3415851593018;3,98827463388443
2,25;5,04309916701302;47,505959003604;62;256;160;349;63,3085164642334;14,3;7,9;"OS_111";235;173;416;110;104,348516464233;4,42262977361679
2,25;5,14955900032885;47,441190503721;59;337;242;201;17,4403938102722;15,2;4,85;"OS_111";220;161;579;30,2;17,5603938102722;1,14641487598419
2,25;5,31175866631104;47,2916828336019;41;415;386;141;16,23;14,5;4,84;"OS_111";58;17;801;28,1;16,23;1,12
2,25;5,21686738964643;47,3785035869085;35;396;264;289;23,0112171173096;13,1;5,99;"OS_111";51;16;660;39,8;23,0112171173096;1,7517463862896
2,5;5,30791016629726;47,1360598320713;88;208;94;596;74,3748357391357;10,8;7,72;"OS_111";102;14;302;129;83,6148357391357;6,88143074512482
2,5;5,32239994098879;47,4663929499516;91;364;261;269;17,0154440402985;13,6;5,12;"OS_111";106;15;625;29,4;17,0154440402985;1,25214517116547
2,25;5,32187216663587;47,5394221624668;152;356;320;166;20,7357573509216;14,4;5,49;"OS_111";158;6;676;35,9;20,7357573509216;1,44349336624146
2,25;5,32425816705049;47,5605556649921;14;345;211;426;28,1482299613953;11,8;6,64;"OS_111";18;4;556;48,7;28,2682299613953;2,37693682312965
2,5;5,07078549948544;47,4623719968399;37;259;102;546;28,01363697052;10;8,1;"OS_214";93;56;361;48,5;40,61363697052;2,79335081577301
2,5;5,31422750031594;47,1247975017666;114;194;198;387;20,3949603080749;10,1;8,13;"OS_214";221;107;392;35,3;26,9949603080749;2,01760590076446
2,25;4,98116633296018;47,1471538309344;110;322;376;158;9,19;10,7;7,74;"OS_214";144;34;698;15,9;9,19056892395019;0,858336687088012
2,5;5,17724618330572;47,2945690111483;49;372;168;345;36,7512462615966;9,1;8,16;"OS_214";115;66;540;63,6;76,9512462615966;4,03896868228912
2,5;5,36966633358991;47,3440933311027;94;389;280;210;11,9177405929565;12,3;7,42;"OS_214";121;27;669;20,6;12,1577405929565;0,965462103486061
2,25;5,14915250025093;47,1850974978985;48;357;261;319;11,7;9,36;6,92;"OS_214";63;15;618;20,2;11,6746664047241;1,24939940869808
2,25;5,12653650048121;47,3617786672875;75;291;117;464;22,9099228286743;9,64;8,17;"OS_214";128;53;408;39,6;40,6699228286743;2,37619817256927
2,25;5,19501033327595;47,1432078318501;55;331;112;479;23,4718848419189;9,88;8,29;"OS_214";78;23;443;40,6;47,3518848419189;2,37550944089889
2,5;5,14838116658291;47,1778791674408;54;320;259;339;15,9;10,9;7,12;"OS_214";82;28;579;27,5;15,9095561504364;1,46185249090194
2,25;5,31455116611006;47,3855300005531;113;335;354;146;10,6;11;6,96;"OS_214";165;52;689;18,3;10,5864322185516;0,961736440658569
2,5;5,07779066712284;47,3870943301097;84;271;163;356;30,7407829284667;12;8,25;"OS_214";210;126;434;53,2;53,5407829284668;2,55822658538818
2,25;5,00284683397004;47,2607596701011;40;283;158;451;24,2403070831299;9,12;8,11;"OS_214";108;68;441;41,9;33,0003070831299;2,65722960233688
2,25;5,47024264349414;47,5535672562973;55;398;256;275;11,1;9,1;6,95;"OS_214";71;16;654;19,2;11,1280417442322;1,21968731284142
2,25;5,28177783312696;47,4493944955431;143;123;119;270;16,8814517021179;9,64;8,08;"OS_214";488;345;242;29,2;19,2814517021179;1,75204500555992
2,25;5,27799399948009;47,2805310032603;91;336;363;181;9,61;11,2;6,6;"OS_214";120;29;699;16,6;9,61;0,86
2,25;5,33680516690868;47,3473248311748;69;257;258;397;20,3;11;7,13;"OS_214";88;19;515;35,1;20,31;1,85
2,5;5,01642986661576;47,534766335464;74;273;197;338;20,1;9,76;8,23;"OS_214";192;118;470;34,8;70,14;2,06
2,25;5,18506933399238;47,1930753335499;23;216;90;664;25,09;8,9;7,66;"OS_214";30;7;306;43,4;25,57;2,82
2,5;5,1283160426463;47,5477138383518;91;337;166;264;23,9675293731689;9;8,12;"OS_214";233;142;503;41,5;103,887529373169;2,66391187906265
2,25;4,99950566654758;47,2360753293415;38;297;166;489;24,5759293365479;8,95;7,99;"OS_214";48;10;463;42,5;25,8959293365479;2,74581253528595
2,25;5,37955945914575;47,2649024996114;216;243;247;143;10,6;10,2;7;"OS_214";367;151;490;18,3;10,6200075149536;1,03575237095356
2,25;5,12317149982911;47,3112575008547;184;192;155;422;18,3;9,6;7,68;"OS_214";231;47;347;31,7;18,3178722858429;1,90705195069313
2,25;4,69126199990499;47,4275033349752;58;301;142;458;44,8158619308472;9,69;7,5;"OS_210";99;41;443;77,5;50,5758619308472;4,62713837623596
2,25;5,44425933292599;47,3162661674636;19;311;46;615;41,3265999603272;10;6,16;"OS_210";28;9;357;71,5;41,4465999603271;4,11278039216995
2,5;5,25041250040889;47,5773831690935;9;364;171;450;37,6594147872925;10,2;7,37;"OS_210";15;6;535;65,2;38,1394147872925;3,70346218347549
2,25;5,42741524608551;47,5147730075791;63;299;244;385;31,2951176261902;9,94;6,9;"OS_210";72;9;543;54,1;31,5351176261902;3,14846992492676
2,25;4,81421850001126;47,5142464983503;99;325;176;250;48,952004776001;9,17;8,03;"OS_210";249;150;501;84,7;123,592004776001;5,34114062786102
2,5;4,71182033382551;47,2883980031346;63;363;168;343;37,1485280990601;9,79;5,64;"OS_210";126;63;531;64,3;37,1485280990601;3,79290461540222
2,5;5,18646050024777;47,3547994993005;39;294;118;481;49,9439042663574;9,49;8,01;"OS_210";107;68;412;86,4;67,5839042663574;5,26096999645233
2,5;4,97988333290391;47,2092171636136;79;236;197;361;23,4162049484253;11,4;8,16;"OS_218";206;127;433;40,5;41,8962049484253;2,04881578683853
2,25;4,84272566660668;47,144223337273;202;185;175;254;20,614972076416;11;8,22;"OS_218";386;184;360;35,7;67,654972076416;1,87135934829711
2,25;4,85806716647653;47,1803378345061;133;208;260;304;18,1953601837158;10,5;8,15;"OS_218";228;95;468;31,5;45,1953601837158;1,72781080007553
2,2;4,9768356664469;47,3246839955549;158;209;148;394;24,4187713623047;10,1;8,15;"OS_218";249;91;357;42,2;86,8187713623047;2,42493882775307
2,4;4,98486483307266;47,3121186661992;120;230;130;424;18,5292866897583;9,97;8,27;"OS_218";216;96;360;32,1;77,2092866897583;1,85863837599754
3,25;5,2205315079642;47,2673449987146;52;318;198;362;25,1784603881835;9,33;8,25;"OS_210";122;70;516;43,6;46,8984603881835;2,69930452108383
3,5;4,60249716648321;47,2806738315153;45;292;122;526;60,9362024307251;12;7,29;"OS_111";60;15;414;105;61,5362024307251;5,05735039710999
3,5;4,59720733359462;47,2801771637791;33;398;122;420;31,3771220588684;9,76;7,81;"OS_111";60;27;520;54,3;34,7371220588684;3,21392744779587
3,5;4,60266949945651;47,2774954977826;29;403;126;420;41,1172855377197;9,97;7,52;"OS_111";51;22;529;71,1;42,3172855377197;4,12467449903488
3,25;4,60101407866848;47,2753875332316;28;471;126;320;36,0909687805176;9,39;7,96;"OS_214";83;55;597;62,4;43,4109687805176;3,84248167276382
3;4,59889000013074;47,288933504096;43;300;132;410;21,0534674453735;9,16;8,17;"OS_214";158;115;432;36,4;46,3734674453735;2,298763692379
3;4,59119547433158;47,2757606539309;26;485;135;298;45,4961722564697;10;7,91;"OS_214";82;56;620;78,7;50,1761722564697;4,54772531986237
3,25;4,59314850032752;47,2747086710358;22;383;131;413;28,0731275939941;9,9;7,98;"OS_214";73;51;514;48,6;33,2331275939941;2,83497214317322
3,75;4,60257209342725;47,2887979158237;64;305;162;357;55,7543414306641;10,8;7,96;"OS_210";176;112;467;96,5;105,434341430664;5,17918646335602
3,25;4,60568857472767;47,2814476686362;30;354;118;476;35,5631777572632;10,2;7,54;"OS_210";52;22;472;61,5;36,8831777572632;3,47846031188965
2,75;4,59849808833758;47,2749729040261;41;475;133;200;41,360675201416;10;7,91;"OS_210";192;151;608;71,6;62,000675201416;4,12260353565216
4;4,70159433274831;47,1979025001545;8;354;183;452;37,2188496589661;15;6,12;"OS_111";11;3;537;64,4;37,2188496589661;2,48496025800705
2,75;5,47431260854483;47,5728417404338;15;385;144;393;48,1369631195068;14,9;7,96;"OS_111";78;63;529;83,3;56,8969631195068;3,23260754346848
5,25;5,34128516738817;47,5541903377246;8;339;184;429;47,9934921646118;14,6;7,3;"OS_111";48;40;523;83;51,9534921646118;3,28683823347092
3;5,2189260005384;47,4698361690631;14;239;146;587;43,7863315963745;14,4;7,21;"OS_111";28;14;385;75,8;45,3463315963745;3,04606258869171
4,75;5,37489649369333;47,5646554559628;17;298;171;491;44,7972878265381;14,1;6,39;"OS_111";40;23;469;77,5;44,9172878265381;3,16989362239838
2,75;5,26116491230036;47,4937861207272;19;456;278;241;20,1807856559753;12,6;5,39;"OS_111";25;6;734;34,9;20,1807856559753;1,6058823466301
4,75;5,42708916718403;47,2855615000196;128;124;52;253;27,2817587852478;11,8;5,44;"OS_111";571;443;176;47,2;27,2817587852478;2,31632366776466
4,25;5,48012466693879;47,3606690013423;167;68;27;236;27,9339909553528;12;6,2;"OS_111";669;502;95;48,3;27,9339909553528;2,32222184538841
3;4,94361133269274;47,5740873293352;16;378;160;423;44,5453747177124;15;7,29;"OS_111";39;23;538;77,1;46,7053747177124;2,96077191829681
3,25;5,05101416686483;47,4030803344208;24;383;218;364;37,0069601821899;16;6,77;"OS_111";35;11;601;64;37,7269601821899;2,31965556740761
3,5;5,46216316713131;47,2246161629286;217;193;123;116;16,1273550987244;14,2;5,07;"OS_111";568;351;316;27,9;16,1273550987244;1,13400161266327
3,75;5,3132904996659;47,5568608349642;26;385;292;293;24,5582222938538;13,8;5,17;"OS_111";30;4;677;42,5;24,5582222938538;1,7734669148922
3,5;5,26204616672498;47,5420578326141;40;419;255;283;24,0212917327881;12,8;5,34;"OS_111";43;3;674;41,6;24,0212917327881;1,87003761529922
3;5,26449999954578;47,5418416645177;63;425;264;244;18,3192586898804;12,8;5,21;"OS_111";67;4;689;31,7;18,3192586898804;1,43034264445305
3;5,47168416620878;47,5934908309144;24;368;219;361;30,3280934143066;12;6,11;"OS_111";52;28;587;52,5;30,4480934143066;2,52244532108307
4,75;5,4644354993549;47,5899056648056;37;458;290;169;18,7397909164429;13,4;5,28;"OS_111";83;46;748;32,4;18,7397909164429;1,40361934900284
3;4,80599050033342;47,4142083344498;33;303;151;507;39,7466516494751;13,5;5,49;"OS_111";39;6;454;68,8;39,7466516494751;2,94326335191727
3,5;5,45789416747998;47,2472916708773;191;246;194;236;8,6;9,76;7,34;"OS_214";324;133;440;14,9;8,60073924064636;0,881544947624206
3;5,31661549946406;47,1825708339517;102;336;323;175;12,7845916938781;9,56;7,89;"OS_214";166;64;659;22,1;13,2645916938781;1,33765235543251
2,75;4,74327852404031;47,4868310732889;100;264;97;170;33,1109469604492;12,9;8,22;"OS_214";469;369;361;57,3;97,7909469604492;2,55772709846496
3,75;5,09032633362071;47,2325446700288;43;355;249;315;13,5581923866271;9,8;7,43;"OS_214";81;38;604;23,5;13,9181923866271;1,38407915830612
3,25;4,96846466716196;47,331723000003;166;160;110;326;19,9545896148681;10,6;8,3;"OS_214";404;238;270;34,5;83,1945896148681;1,88583269715309
2,75;5,22284800003131;47,2239769983278;101;257;113;280;22,029500427246;8,64;8,28;"OS_214";350;249;370;38,1;89,5895004272461;2,5500276684761
2,75;5,06822733353405;47,4858943364065;103;272;119;306;22,9915727615356;9,99;8,28;"OS_214";303;200;391;39,8;71,5915727615356;2,30249926447868
3,25;5,07029533364532;47,4574351643193;16;372;177;427;17,9994528388977;10,4;6,91;"OS_214";24;8;549;31,1;18,2394528388977;1,73521444201469
3;5,04170049942234;47,4226338325451;30;347;237;382;19,6;10,7;7,15;"OS_214";34;4;584;33,9;19,6424686908721;1,82477548718452
3,25;5,02200933382573;47,2120751657671;81;329;257;320;17,7;13;7,23;"OS_214";94;13;586;30,6;17,7308928966522;1,36375680565834
3,5;5,33806616641168;47,575802332971;30;439;301;197;13,7;10,8;6,75;"OS_214";63;33;740;23,7;13,6918711662292;1,27250105142593
2,75;4,9031369230832;47,3855068883602;48;311;192;358;22,935574054718;9,67;8,21;"OS_214";139;91;503;39,7;37,935574054718;2,37233996391296
3;4,81081149980802;47,4607750009453;101;224;114;188;26,2312640380859;9,03;8,2;"OS_214";474;373;338;45,4;96,3112640380859;2,90506422519683
4;4,81871309845175;47,5146092204742;41;367;136;317;40,4810076904296;9,92;8,08;"OS_214";180;139;503;70;61,3610076904296;4,07958596944809
3;4,82319783278099;47,5536968359011;76;279;119;181;20,174102897644;9,62;8,34;"OS_214";421;345;398;34,9;74,054102897644;2,09761157631874
3,5;5,33834733348462;47,4818568325078;75;366;321;167;15,1;9,89;7,39;"OS_214";146;71;687;26,1;15,0969266891479;1,52650624513626
2,75;5,36156066716311;47,4078536687054;58;366;343;207;12,9;10,5;7,31;"OS_214";84;26;709;22,3;12,85;1,23
3,75;5,3067429091466;47,4703195102201;89;344;248;189;11,9;11,7;7,53;"OS_214";219;130;592;20,6;11,94;1,02
4,25;5,26227542900753;47,4769171222047;57;410;175;246;27,89;10,2;8,06;"OS_214";169;112;585;48,2;39,53;2,74
4;5,21833249982052;47,4165066688117;44;375;160;377;25,33;10,3;8,15;"OS_214";88;44;535;43,8;34,57;2,46
4;4,80537983334966;47,4849915014112;22;382;138;396;26,6341795539856;9,12;8,02;"OS_214";84;62;520;46,1;34,6741795539856;2,91932791471481
2,75;5,25672116717204;47,0371476703995;99;402;263;171;7,96;10,2;7,32;"OS_214";164;65;665;13,8;7,95534074306488;0,782196894288063
3,75;4,98613733370057;47,4128224968945;107;351;174;209;19,4066666666667;9,04;8,21;"OS_214";266;159;525;33,6;109,046666666667;2,14666666666667
3;5,33039316697887;47,1391121697136;99;245;245;315;12,7168171977997;9,35;7,97;"OS_214";195;96;490;22;14,1568171977997;1,35977521538734
2,75;5,3081870185555;47,505657584686;74;373;235;225;12,8;10,7;7,71;"OS_214";167;93;608;22,1;12,7983248233795;1,20144620537758
3,25;4,74383660344969;47,5294460294309;83;304;108;171;32,3652365875244;9,76;8,1;"OS_214";417;334;412;56;91,0452365875244;3,31441730260849
5,25;5,38732349938152;47,4823361626011;37;318;158;479;44,8655702209473;9,25;7,9;"OS_210";45;8;476;77,6;51,7055702209473;4,85242456197739
3;5,41059983263854;47,572679164514;16;333;99;552;43,6934288787842;10,2;6,5;"OS_210";16;0;432;75,6;43,8134288787842;4,27679449319839
2,75;4,86529699992484;47,3140546666163;102;413;264;213;39,5548586273193;9,6;7,99;"OS_210";110;8;677;68,4;62,1148586273193;4,1192838549614
3,75;4,98189576347716;47,536581143662;91;393;219;273;51,7839112091064;9,11;7,88;"OS_210";115;24;612;89,6;111,303911209106;5,68272113800049
4,25;5,36796099964331;47,1910753353153;111;174;116;366;32,0048999786377;10;6,19;"OS_210";344;233;290;55,4;32,0048999786377;3,19859117269516
4,5;4,99014707400122;47,1553648074714;71;291;291;316;23,6960911750793;9,99;7,06;"OS_210";102;31;582;41;23,6960911750793;2,37154021859169
4,25;5,04451050039789;47,5110183299762;70;445;216;192;54,955004196167;9,17;8,01;"OS_210";147;77;661;95,1;117,475004196167;5,9923779964447
2,75;5,14906797398298;47,6322808123284;21;279;103;593;53,2463528060913;9,38;6,77;"OS_210";25;4;382;92,1;53,6063528060913;5,67474007606506
2,75;4,6173343327545;47,2907229959614;45;276;130;503;44,5562181854248;9,42;7,85;"OS_210";91;46;406;77,1;51,5162181854248;4,73183929920197
2,75;4,72323099976974;47,3719478331203;84;313;165;400;30,5293973731995;10,3;7,26;"OS_210";122;38;478;52,8;30,6493973731995;2,95618891716003
3,25;4,77526983370958;47,3490839955308;89;265;212;414;31,6577723312378;10,1;7,5;"OS_210";109;20;477;54,8;32,3777723312378;3,13893496990204
3;5,11644723010328;47,1448574988848;84;260;172;460;30,6967282295227;9,48;6,12;"OS_210";108;24;432;53,1;30,6967282295227;3,23790371417999
3,5;4,93776783350482;47,4278426682124;62;342;112;332;46,067600402832;10,4;8,11;"OS_210";214;152;454;79,7;82,907600402832;4,44849461317062
3,25;5,17417030093677;47,4283444258039;127;340;301;151;14,3887221813202;10,8;5,96;"OS_210";208;81;641;24,9;14,3887221813202;1,32689118385315
4,25;5,26792250017331;47,4744809978204;124;260;133;219;26,6179539108276;11,3;8,23;"OS_210";388;264;393;46;71,9779539108276;2,35042527318001
3,25;4,99853983258678;47,288573163194;75;251;155;347;17,897483253479;10,5;8,25;"OS_218";247;172;406;31;51,497483253479;1,70463785529137
4,25;4,96824750039416;47,331447334651;200;162;148;340;16,5942283630371;9,41;8,25;"OS_218";350;150;310;28,7;81,9942283630371;1,76378980278969
3,5;4,88359266660463;47,1680173351423;197;286;241;210;14,225312423706;9,98;8,36;"OS_218";263;66;527;24,6;73,025312423706;1,42602577805519
3,25;4,87192066666705;47,1340176667132;145;235;202;306;13,2589514923095;11,1;8,34;"OS_218";257;112;437;22,9;53,9389514923095;1,19774542748928
3,5;4,87815533463189;47,1441978754832;182;182;242;324;22,346561088562;10,1;8,12;"OS_218";252;70;424;38,7;37,706561088562;2,2208759188652
