"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"n.trees";"shrinkage";"interaction.depth";"n.minobsinnode"
6,158;0,522;0,058;4,922;500;0,01;3;2
6,192;0,676;0,068;4,936;1000;0,01;3;2
6,266;0,766;0,064;4,988;1500;0,01;3;2
6,284;0,796;0,066;5,002;1700;0,01;3;2
6,306;0,828;0,064;5,01;2000;0,01;3;2
6,412;0,896;0,066;5,082;3000;0,01;3;2
6,198;0,664;0,068;4,95;500;0,02;3;2
6,296;0,822;0,068;5,032;1000;0,02;3;2
6,402;0,894;0,068;5,112;1500;0,02;3;2
6,428;0,912;0,064;5,134;1700;0,02;3;2
6,468;0,932;0,066;5,152;2000;0,02;3;2
6,586;0,97;0,066;5,24;3000;0,02;3;2
6,342;0,858;0,072;5,016;500;0,05;3;2
6,508;0,952;0,074;5,166;1000;0,05;3;2
6,584;0,98;0,074;5,236;1500;0,05;3;2
6,614;0,988;0,07;5,256;1700;0,05;3;2
6,636;0,99;0,07;5,268;2000;0,05;3;2
6,676;1;0,072;5,304;3000;0,05;3;2
6,196;0,284;0,044;5,018;500;0,001;3;2
6,152;0,318;0,046;4,974;1000;0,001;3;2
6,126;0,35;0,052;4,944;1500;0,001;3;2
6,122;0,362;0,052;4,938;1700;0,001;3;2
6,116;0,378;0,054;4,928;2000;0,001;3;2
6,112;0,436;0,056;4,916;3000;0,001;3;2
6,156;0,316;0,046;4,978;500;0,002;3;2
6,114;0,378;0,056;4,922;1000;0,002;3;2
6,1;0,436;0,056;4,906;1500;0,002;3;2
6,106;0,456;0,058;4,908;1700;0,002;3;2
6,106;0,486;0,06;4,904;2000;0,002;3;2
6,128;0,566;0,062;4,916;3000;0,002;3;2
6,122;0,406;0,056;4,92;500;0,005;3;2
6,112;0,524;0,064;4,9;1000;0,005;3;2
6,14;0,614;0,066;4,92;1500;0,005;3;2
6,152;0,642;0,064;4,928;1700;0,005;3;2
6,162;0,678;0,068;4,932;2000;0,005;3;2
6,226;0,768;0,07;4,966;3000;0,005;3;2
6,146;0,69;0,072;4,888;500;0,01;5;2
6,222;0,834;0,078;4,938;1000;0,01;5;2
6,298;0,902;0,074;4,99;1500;0,01;5;2
6,33;0,92;0,076;5,018;1700;0,01;5;2
6,362;0,94;0,074;5,036;2000;0,01;5;2
6,444;0,97;0,07;5,088;3000;0,01;5;2
6,226;0,828;0,078;4,93;500;0,02;5;2
6,344;0,938;0,078;5,026;1000;0,02;5;2
6,41;0,97;0,076;5,076;1500;0,02;5;2
6,44;0,98;0,074;5,098;1700;0,02;5;2
6,468;0,99;0,074;5,108;2000;0,02;5;2
6,516;1;0,072;5,146;3000;0,02;5;2
6,408;0,954;0,076;5,084;500;0,05;5;2
6,528;0,99;0,07;5,17;1000;0,05;5;2
6,564;1;0,072;5,2;1500;0,05;5;2
6,566;1;0,072;5,206;1700;0,05;5;2
6,578;1;0,072;5,212;2000;0,05;5;2
6,584;1;0,07;5,214;3000;0,05;5;2
6,168;0,398;0,054;4,99;500;0,001;5;2
6,12;0,444;0,06;4,938;1000;0,001;5;2
6,098;0,488;0,064;4,904;1500;0,001;5;2
6,096;0,5;0,064;4,9;1700;0,001;5;2
6,088;0,526;0,066;4,892;2000;0,001;5;2
6,094;0,59;0,066;4,888;3000;0,001;5;2
6,128;0,44;0,054;4,944;500;0,002;5;2
6,106;0,52;0,06;4,902;1000;0,002;5;2
6,104;0,588;0,062;4,898;1500;0,002;5;2
6,108;0,614;0,064;4,9;1700;0,002;5;2
6,116;0,646;0,066;4,906;2000;0,002;5;2
6,152;0,734;0,07;4,926;3000;0,002;5;2
6,096;0,558;0,064;4,88;500;0,005;5;2
6,112;0,692;0,074;4,878;1000;0,005;5;2
6,16;0,78;0,076;4,9;1500;0,005;5;2
6,176;0,804;0,076;4,912;1700;0,005;5;2
6,202;0,834;0,076;4,92;2000;0,005;5;2
6,276;0,902;0,076;4,958;3000;0,005;5;2
6,134;0,742;0,078;4,88;500;0,01;6;2
6,22;0,874;0,082;4,926;1000;0,01;6;2
6,318;0,932;0,076;4,994;1500;0,01;6;2
6,34;0,95;0,074;5,014;1700;0,01;6;2
6,368;0,96;0,074;5,034;2000;0,01;6;2
6,444;0,99;0,074;5,088;3000;0,01;6;2
6,224;0,872;0,08;4,928;500;0,02;6;2
6,346;0,96;0,078;5,03;1000;0,02;6;2
6,426;0,986;0,074;5,09;1500;0,02;6;2
6,448;0,99;0,074;5,108;1700;0,02;6;2
6,464;0,99;0,072;5,118;2000;0,02;6;2
6,498;1;0,074;5,14;3000;0,02;6;2
6,368;0,972;0,084;5,064;500;0,05;6;2
6,454;1;0,08;5,132;1000;0,05;6;2
6,466;1;0,08;5,144;1500;0,05;6;2
6,472;1;0,08;5,144;1700;0,05;6;2
6,472;1;0,08;5,146;2000;0,05;6;2
6,474;1;0,08;5,146;3000;0,05;6;2
6,16;0,45;0,06;4,98;500;0,001;6;2
6,108;0,496;0,066;4,92;1000;0,001;6;2
6,088;0,538;0,066;4,892;1500;0,001;6;2
6,084;0,558;0,066;4,886;1700;0,001;6;2
6,078;0,578;0,066;4,872;2000;0,001;6;2
6,086;0,648;0,072;4,876;3000;0,001;6;2
6,116;0,492;0,06;4,926;500;0,002;6;2
6,09;0,574;0,066;4,886;1000;0,002;6;2
6,098;0,646;0,066;4,886;1500;0,002;6;2
6,108;0,67;0,068;4,896;1700;0,002;6;2
6,112;0,704;0,072;4,896;2000;0,002;6;2
6,156;0,786;0,072;4,916;3000;0,002;6;2
6,098;0,612;0,066;4,876;500;0,005;6;2
6,126;0,746;0,078;4,888;1000;0,005;6;2
6,184;0,824;0,076;4,912;1500;0,005;6;2
6,202;0,852;0,074;4,926;1700;0,005;6;2
6,226;0,876;0,078;4,938;2000;0,005;6;2
6,312;0,932;0,074;4,99;3000;0,005;6;2
6,154;0,822;0,08;4,87;500;0,01;8;2
6,232;0,93;0,086;4,926;1000;0,01;8;2
6,3;0,97;0,082;4,974;1500;0,01;8;2
6,328;0,978;0,08;4,996;1700;0,01;8;2
6,348;0,982;0,08;5,01;2000;0,01;8;2
6,402;1;0,078;5,042;3000;0,01;8;2
6,266;0,926;0,078;4,968;500;0,02;8;2
6,348;0,98;0,08;5,036;1000;0,02;8;2
6,394;1;0,078;5,068;1500;0,02;8;2
6,402;1;0,078;5,07;1700;0,02;8;2
6,412;1;0,078;5,074;2000;0,02;8;2
6,428;1;0,076;5,084;3000;0,02;8;2
6,424;0,99;0,08;5,096;500;0,05;8;2
6,462;1;0,08;5,13;1000;0,05;8;2
6,464;1;0,082;5,132;1500;0,05;8;2
6,464;1;0,082;5,132;1700;0,05;8;2
6,464;1;0,082;5,132;2000;0,05;8;2
6,464;1;0,082;5,132;3000;0,05;8;2
6,142;0,534;0,064;4,964;500;0,001;8;2
6,094;0,58;0,07;4,9;1000;0,001;8;2
6,074;0,628;0,072;4,87;1500;0,001;8;2
6,072;0,642;0,074;4,864;1700;0,001;8;2
6,066;0,668;0,074;4,858;2000;0,001;8;2
6,086;0,734;0,074;4,87;3000;0,001;8;2
6,1;0,582;0,066;4,91;500;0,002;8;2
6,076;0,664;0,074;4,87;1000;0,002;8;2
6,092;0,734;0,074;4,878;1500;0,002;8;2
6,106;0,754;0,074;4,886;1700;0,002;8;2
6,112;0,784;0,08;4,89;2000;0,002;8;2
6,158;0,854;0,08;4,908;3000;0,002;8;2
6,086;0,7;0,078;4,856;500;0,005;8;2
6,118;0,824;0,086;4,86;1000;0,005;8;2
6,188;0,892;0,082;4,898;1500;0,005;8;2
6,212;0,91;0,082;4,916;1700;0,005;8;2
6,228;0,93;0,082;4,926;2000;0,005;8;2
6,304;0,97;0,08;4,972;3000;0,005;8;2
6,136;0,504;0,066;4,908;500;0,01;3;5
6,136;0,656;0,08;4,906;1000;0,01;3;5
6,2;0,748;0,076;4,94;1500;0,01;3;5
6,216;0,774;0,078;4,95;1700;0,01;3;5
6,228;0,81;0,08;4,946;2000;0,01;3;5
6,318;0,882;0,078;5,002;3000;0,01;3;5
6,2;0,652;0,072;4,954;500;0,02;3;5
6,252;0,804;0,082;4,974;1000;0,02;3;5
6,344;0,88;0,078;5,044;1500;0,02;3;5
6,38;0,898;0,078;5,076;1700;0,02;3;5
6,428;0,92;0,076;5,108;2000;0,02;3;5
6,54;0,96;0,07;5,192;3000;0,02;3;5
6,294;0,844;0,082;4,99;500;0,05;3;5
6,454;0,944;0,084;5,116;1000;0,05;3;5
6,566;0,978;0,078;5,202;1500;0,05;3;5
6,588;0,98;0,076;5,226;1700;0,05;3;5
6,622;0,99;0,078;5,244;2000;0,05;3;5
6,662;1;0,078;5,278;3000;0,05;3;5
6,194;0,278;0,042;5,018;500;0,001;3;5
6,154;0,312;0,046;4,978;1000;0,001;3;5
6,13;0,342;0,05;4,948;1500;0,001;3;5
6,128;0,354;0,052;4,942;1700;0,001;3;5
6,12;0,372;0,052;4,934;2000;0,001;3;5
6,106;0,422;0,058;4,914;3000;0,001;3;5
6,158;0,31;0,044;4,978;500;0,002;3;5
6,12;0,37;0,056;4,93;1000;0,002;3;5
6,108;0,424;0,058;4,906;1500;0,002;3;5
6,108;0,442;0,06;4,908;1700;0,002;3;5
6,102;0,472;0,064;4,9;2000;0,002;3;5
6,118;0,548;0,068;4,902;3000;0,002;3;5
6,124;0,398;0,056;4,926;500;0,005;3;5
6,108;0,508;0,068;4,892;1000;0,005;3;5
6,124;0,596;0,072;4,9;1500;0,005;3;5
6,134;0,622;0,07;4,908;1700;0,005;3;5
6,142;0,662;0,072;4,912;2000;0,005;3;5
6,186;0,754;0,074;4,928;3000;0,005;3;5
6,13;0,67;0,08;4,876;500;0,01;5;5
6,176;0,816;0,088;4,88;1000;0,01;5;5
6,254;0,886;0,082;4,924;1500;0,01;5;5
6,284;0,906;0,08;4,944;1700;0,01;5;5
6,316;0,928;0,08;4,968;2000;0,01;5;5
6,39;0,966;0,078;5,016;3000;0,01;5;5
6,202;0,812;0,084;4,9;500;0,02;5;5
6,324;0,924;0,08;4,986;1000;0,02;5;5
6,412;0,962;0,078;5,056;1500;0,02;5;5
6,434;0,972;0,078;5,072;1700;0,02;5;5
6,462;0,98;0,076;5,084;2000;0,02;5;5
6,516;0,994;0,074;5,122;3000;0,02;5;5
6,334;0,944;0,088;4,992;500;0,05;5;5
6,44;0,99;0,086;5,074;1000;0,05;5;5
6,476;1;0,084;5,1;1500;0,05;5;5
6,482;1;0,082;5,102;1700;0,05;5;5
6,496;1;0,082;5,112;2000;0,05;5;5
6,506;1;0,082;5,116;3000;0,05;5;5
6,168;0,386;0,052;4,99;500;0,001;5;5
6,122;0,432;0,058;4,94;1000;0,001;5;5
6,104;0,47;0,062;4,908;1500;0,001;5;5
6,102;0,484;0,062;4,908;1700;0,001;5;5
6,094;0,508;0,064;4,898;2000;0,001;5;5
6,096;0,576;0,068;4,888;3000;0,001;5;5
6,132;0,428;0,056;4,946;500;0,002;5;5
6,104;0,504;0,062;4,9;1000;0,002;5;5
6,1;0,57;0,066;4,886;1500;0,002;5;5
6,098;0,596;0,07;4,886;1700;0,002;5;5
6,102;0,628;0,074;4,886;2000;0,002;5;5
6,126;0,712;0,08;4,888;3000;0,002;5;5
6,106;0,54;0,068;4,886;500;0,005;5;5
6,096;0,672;0,084;4,858;1000;0,005;5;5
6,132;0,758;0,084;4,876;1500;0,005;5;5
6,146;0,782;0,084;4,886;1700;0,005;5;5
6,17;0,814;0,084;4,894;2000;0,005;5;5
6,232;0,888;0,086;4,916;3000;0,005;5;5
6,116;0,724;0,088;4,85;500;0,01;6;5
6,166;0,862;0,094;4,866;1000;0,01;6;5
6,246;0,92;0,09;4,91;1500;0,01;6;5
6,27;0,938;0,09;4,924;1700;0,01;6;5
6,3;0,95;0,088;4,946;2000;0,01;6;5
6,362;0,98;0,086;4,992;3000;0,01;6;5
6,218;0,856;0,084;4,928;500;0,02;6;5
6,342;0,95;0,082;5,028;1000;0,02;6;5
6,422;0,98;0,076;5,074;1500;0,02;6;5
6,434;0,988;0,078;5,086;1700;0,02;6;5
6,466;0,99;0,076;5,104;2000;0,02;6;5
6,496;1;0,074;5,132;3000;0,02;6;5
6,374;0,966;0,086;4,996;500;0,05;6;5
6,464;1;0,086;5,092;1000;0,05;6;5
6,492;1;0,084;5,114;1500;0,05;6;5
6,498;1;0,084;5,118;1700;0,05;6;5
6,502;1;0,084;5,12;2000;0,05;6;5
6,504;1;0,084;5,122;3000;0,05;6;5
6,162;0,434;0,06;4,98;500;0,001;6;5
6,114;0,482;0,062;4,924;1000;0,001;6;5
6,094;0,524;0,068;4,898;1500;0,001;6;5
6,088;0,538;0,066;4,894;1700;0,001;6;5
6,086;0,562;0,068;4,886;2000;0,001;6;5
6,092;0,628;0,072;4,878;3000;0,001;6;5
6,124;0,478;0,058;4,936;500;0,002;6;5
6,094;0,562;0,068;4,888;1000;0,002;6;5
6,098;0,628;0,074;4,882;1500;0,002;6;5
6,1;0,652;0,074;4,882;1700;0,002;6;5
6,1;0,684;0,076;4,88;2000;0,002;6;5
6,128;0,766;0,08;4,882;3000;0,002;6;5
6,106;0,594;0,07;4,888;500;0,005;6;5
6,102;0,726;0,088;4,856;1000;0,005;6;5
6,136;0,81;0,088;4,874;1500;0,005;6;5
6,158;0,832;0,086;4,884;1700;0,005;6;5
6,176;0,862;0,088;4,892;2000;0,005;6;5
6,242;0,92;0,092;4,918;3000;0,005;6;5
6,124;0,804;0,09;4,848;500;0,01;8;5
6,164;0,916;0,102;4,846;1000;0,01;8;5
6,246;0,96;0,098;4,898;1500;0,01;8;5
6,266;0,97;0,094;4,908;1700;0,01;8;5
6,28;0,98;0,096;4,924;2000;0,01;8;5
6,326;0,99;0,092;4,96;3000;0,01;8;5
6,27;0,914;0,08;4,962;500;0,02;8;5
6,398;0,98;0,08;5,078;1000;0,02;8;5
6,458;0,99;0,076;5,114;1500;0,02;8;5
6,462;1;0,076;5,116;1700;0,02;8;5
6,476;1;0,076;5,126;2000;0,02;8;5
6,496;1;0,078;5,14;3000;0,02;8;5
6,372;0,99;0,084;5,01;500;0,05;8;5
6,416;1;0,088;5,056;1000;0,05;8;5
6,428;1;0,086;5,064;1500;0,05;8;5
6,43;1;0,086;5,066;1700;0,05;8;5
6,43;1;0,086;5,066;2000;0,05;8;5
6,434;1;0,086;5,07;3000;0,05;8;5
6,146;0,516;0,062;4,968;500;0,001;8;5
6,098;0,564;0,07;4,91;1000;0,001;8;5
6,082;0,608;0,072;4,878;1500;0,001;8;5
6,08;0,624;0,072;4,876;1700;0,001;8;5
6,074;0,646;0,076;4,868;2000;0,001;8;5
6,082;0,714;0,082;4,862;3000;0,001;8;5
6,112;0,562;0,064;4,92;500;0,002;8;5
6,086;0,646;0,074;4,872;1000;0,002;8;5
6,092;0,712;0,08;4,87;1500;0,002;8;5
6,098;0,734;0,082;4,872;1700;0,002;8;5
6,1;0,766;0,084;4,87;2000;0,002;8;5
6,136;0,84;0,088;4,878;3000;0,002;8;5
6,102;0,68;0,074;4,866;500;0,005;8;5
6,116;0,806;0,092;4,848;1000;0,005;8;5
6,162;0,874;0,092;4,866;1500;0,005;8;5
6,18;0,894;0,092;4,878;1700;0,005;8;5
6,208;0,92;0,092;4,896;2000;0,005;8;5
6,27;0,96;0,088;4,93;3000;0,005;8;5
6,144;0,482;0,062;4,928;500;0,01;3;10
6,124;0,624;0,082;4,888;1000;0,01;3;10
6,164;0,712;0,084;4,906;1500;0,01;3;10
6,18;0,74;0,084;4,904;1700;0,01;3;10
6,202;0,774;0,082;4,924;2000;0,01;3;10
6,272;0,85;0,084;4,972;3000;0,01;3;10
6,156;0,614;0,08;4,926;500;0,02;3;10
6,2;0,77;0,094;4,94;1000;0,02;3;10
6,284;0,848;0,09;4,992;1500;0,02;3;10
6,318;0,868;0,086;5,02;1700;0,02;3;10
6,348;0,896;0,084;5,046;2000;0,02;3;10
6,434;0,946;0,084;5,098;3000;0,02;3;10
6,304;0,804;0,08;5,002;500;0,05;3;10
6,45;0,918;0,08;5,12;1000;0,05;3;10
6,54;0,96;0,076;5,178;1500;0,05;3;10
6,578;0,97;0,072;5,206;1700;0,05;3;10
6,608;0,98;0,072;5,232;2000;0,05;3;10
6,648;0,99;0,07;5,262;3000;0,05;3;10
6,194;0,26;0,036;5,016;500;0,001;3;10
6,16;0,292;0,042;4,982;1000;0,001;3;10
6,138;0,322;0,044;4,96;1500;0,001;3;10
6,136;0,334;0,044;4,954;1700;0,001;3;10
6,132;0,348;0,044;4,946;2000;0,001;3;10
6,124;0,398;0,05;4,926;3000;0,001;3;10
6,16;0,29;0,042;4,986;500;0,002;3;10
6,124;0,348;0,052;4,936;1000;0,002;3;10
6,12;0,398;0,054;4,916;1500;0,002;3;10
6,126;0,416;0,054;4,92;1700;0,002;3;10
6,12;0,444;0,06;4,914;2000;0,002;3;10
6,13;0,518;0,064;4,91;3000;0,002;3;10
6,134;0,378;0,05;4,942;500;0,005;3;10
6,11;0,48;0,066;4,896;1000;0,005;3;10
6,134;0,564;0,068;4,912;1500;0,005;3;10
6,142;0,588;0,07;4,916;1700;0,005;3;10
6,146;0,626;0,074;4,918;2000;0,005;3;10
6,182;0,714;0,082;4,924;3000;0,005;3;10
6,14;0,636;0,074;4,894;500;0,01;5;10
6,188;0,784;0,084;4,918;1000;0,01;5;10
6,244;0,858;0,088;4,924;1500;0,01;5;10
6,264;0,878;0,086;4,942;1700;0,01;5;10
6,288;0,9;0,086;4,96;2000;0,01;5;10
6,368;0,95;0,082;5,034;3000;0,01;5;10
6,178;0,776;0,088;4,92;500;0,02;5;10
6,258;0,9;0,092;4,976;1000;0,02;5;10
6,348;0,948;0,088;5,018;1500;0,02;5;10
6,372;0,96;0,086;5,038;1700;0,02;5;10
6,398;0,97;0,084;5,06;2000;0,02;5;10
6,452;0,99;0,084;5,102;3000;0,02;5;10
6,346;0,924;0,094;5,036;500;0,05;5;10
6,47;0,98;0,09;5,102;1000;0,05;5;10
6,54;0,992;0,086;5,144;1500;0,05;5;10
6,552;1;0,086;5,152;1700;0,05;5;10
6,562;1;0,086;5,156;2000;0,05;5;10
6,59;1;0,086;5,172;3000;0,05;5;10
6,174;0,366;0,046;4,994;500;0,001;5;10
6,132;0,408;0,052;4,948;1000;0,001;5;10
6,118;0,444;0,054;4,926;1500;0,001;5;10
6,114;0,456;0,056;4,922;1700;0,001;5;10
6,114;0,476;0,058;4,916;2000;0,001;5;10
6,118;0,54;0,066;4,906;3000;0,001;5;10
6,136;0,402;0,052;4,954;500;0,002;5;10
6,106;0,48;0,064;4,902;1000;0,002;5;10
6,112;0,54;0,066;4,902;1500;0,002;5;10
6,118;0,56;0,066;4,898;1700;0,002;5;10
6,122;0,594;0,068;4,896;2000;0,002;5;10
6,14;0,676;0,076;4,888;3000;0,002;5;10
6,12;0,504;0,058;4,91;500;0,005;5;10
6,112;0,634;0,078;4,876;1000;0,005;5;10
6,142;0,722;0,086;4,886;1500;0,005;5;10
6,162;0,75;0,084;4,894;1700;0,005;5;10
6,176;0,782;0,086;4,904;2000;0,005;5;10
6,228;0,858;0,09;4,924;3000;0,005;5;10
6,13;0,69;0,084;4,876;500;0,01;6;10
6,184;0,83;0,092;4,89;1000;0,01;6;10
6,228;0,894;0,096;4,906;1500;0,01;6;10
6,244;0,91;0,094;4,92;1700;0,01;6;10
6,272;0,93;0,092;4,95;2000;0,01;6;10
6,346;0,97;0,092;5,02;3000;0,01;6;10
6,218;0,824;0,086;4,95;500;0,02;6;10
6,334;0,93;0,088;5,012;1000;0,02;6;10
6,41;0,97;0,086;5,06;1500;0,02;6;10
6,436;0,974;0,084;5,078;1700;0,02;6;10
6,464;0,98;0,082;5,096;2000;0,02;6;10
6,514;0,994;0,08;5,13;3000;0,02;6;10
6,338;0,95;0,092;5,058;500;0,05;6;10
6,428;0,99;0,09;5,114;1000;0,05;6;10
6,476;1;0,086;5,144;1500;0,05;6;10
6,486;1;0,086;5,146;1700;0,05;6;10
6,494;1;0,086;5,152;2000;0,05;6;10
6,508;1;0,084;5,16;3000;0,05;6;10
6,168;0,41;0,05;4,988;500;0,001;6;10
6,122;0,454;0,058;4,936;1000;0,001;6;10
6,112;0,492;0,062;4,916;1500;0,001;6;10
6,11;0,506;0,062;4,91;1700;0,001;6;10
6,104;0,53;0,066;4,902;2000;0,001;6;10
6,11;0,592;0,07;4,89;3000;0,001;6;10
6,122;0,448;0,056;4,938;500;0,002;6;10
6,098;0,526;0,068;4,892;1000;0,002;6;10
6,11;0,592;0,07;4,892;1500;0,002;6;10
6,114;0,614;0,072;4,888;1700;0,002;6;10
6,118;0,644;0,076;4,886;2000;0,002;6;10
6,14;0,73;0,084;4,874;3000;0,002;6;10
6,116;0,56;0,064;4,906;500;0,005;6;10
6,122;0,69;0,082;4,874;1000;0,005;6;10
6,162;0,772;0,086;4,896;1500;0,005;6;10
6,184;0,798;0,086;4,898;1700;0,005;6;10
6,202;0,828;0,088;4,91;2000;0,005;6;10
6,254;0,896;0,09;4,934;3000;0,005;6;10
6,142;0,758;0,094;4,868;500;0,01;8;10
6,222;0,886;0,098;4,914;1000;0,01;8;10
6,274;0,938;0,098;4,952;1500;0,01;8;10
6,3;0,95;0,094;4,97;1700;0,01;8;10
6,322;0,96;0,094;4,996;2000;0,01;8;10
6,378;0,986;0,092;5,046;3000;0,01;8;10
6,23;0,878;0,094;4,934;500;0,02;8;10
6,322;0,96;0,092;4,982;1000;0,02;8;10
6,368;0,982;0,092;5,016;1500;0,02;8;10
6,386;0,99;0,09;5,036;1700;0,02;8;10
6,404;0,99;0,088;5,048;2000;0,02;8;10
6,442;1;0,084;5,074;3000;0,02;8;10
6,374;0,974;0,094;5,048;500;0,05;8;10
6,458;1;0,088;5,104;1000;0,05;8;10
6,48;1;0,086;5,126;1500;0,05;8;10
6,482;1;0,086;5,126;1700;0,05;8;10
6,486;1;0,086;5,13;2000;0,05;8;10
6,492;1;0,086;5,134;3000;0,05;8;10
6,154;0,474;0,058;4,972;500;0,001;8;10
6,104;0,522;0,066;4,914;1000;0,001;8;10
6,094;0,564;0,068;4,892;1500;0,001;8;10
6,092;0,58;0,07;4,884;1700;0,001;8;10
6,084;0,6;0,072;4,876;2000;0,001;8;10
6,096;0,67;0,078;4,866;3000;0,001;8;10
6,104;0,52;0,064;4,916;500;0,002;8;10
6,08;0,604;0,076;4,866;1000;0,002;8;10
6,098;0,668;0,078;4,866;1500;0,002;8;10
6,104;0,688;0,082;4,862;1700;0,002;8;10
6,112;0,72;0,082;4,858;2000;0,002;8;10
6,148;0,8;0,09;4,864;3000;0,002;8;10
6,092;0,632;0,076;4,868;500;0,005;8;10
6,106;0,764;0,092;4,848;1000;0,005;8;10
6,158;0,84;0,094;4,874;1500;0,005;8;10
6,182;0,858;0,094;4,88;1700;0,005;8;10
6,202;0,886;0,094;4,9;2000;0,005;8;10
6,264;0,938;0,09;4,954;3000;0,005;8;10
6,3;0,344;0,024;5,074;500;0,01;3;30
6,342;0,47;0,034;5,084;1000;0,01;3;30
6,402;0,558;0,036;5,122;1500;0,01;3;30
6,434;0,582;0,036;5,142;1700;0,01;3;30
