"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
6,03;0,706;0,088;4,844;1000;5;30
6,022;0,704;0,09;4,836;1300;5;30
6,022;0,708;0,092;4,832;1500;5;30
6,024;0,708;0,09;4,834;1700;5;30
6,026;0,708;0,09;4,84;2000;5;30
6,046;0,7;0,082;4,852;100;6;30
6,038;0,704;0,084;4,838;300;6;30
6,024;0,712;0,09;4,832;500;6;30
6,022;0,712;0,09;4,834;700;6;30
6,028;0,714;0,09;4,836;900;6;30
6,026;0,714;0,09;4,84;1000;6;30
6,026;0,714;0,09;4,84;1300;6;30
6,026;0,714;0,09;4,84;1500;6;30
6,024;0,714;0,088;4,838;1700;6;30
6,03;0,714;0,088;4,84;2000;6;30
6,046;0,7;0,074;4,872;100;7;30
6,058;0,712;0,074;4,872;300;7;30
6,024;0,714;0,088;4,842;500;7;30
6,024;0,714;0,088;4,842;700;7;30
6,034;0,714;0,086;4,85;900;7;30
6,03;0,714;0,088;4,848;1000;7;30
6,032;0,714;0,088;4,844;1300;7;30
6,03;0,714;0,09;4,844;1500;7;30
6,028;0,714;0,088;4,846;1700;7;30
6,028;0,714;0,086;4,842;2000;7;30
6,098;0,704;0,07;4,904;100;8;30
6,058;0,714;0,08;4,868;300;8;30
6,046;0,716;0,082;4,858;500;8;30
6,044;0,716;0,084;4,854;700;8;30
6,038;0,718;0,084;4,85;900;8;30
6,044;0,718;0,086;4,856;1000;8;30
6,036;0,718;0,086;4,852;1300;8;30
6,04;0,718;0,086;4,854;1500;8;30
6,042;0,718;0,086;4,852;1700;8;30
6,038;0,72;0,086;4,85;2000;8;30
6,076;0,704;0,076;4,866;100;9;30
6,03;0,716;0,09;4,842;300;9;30
6,036;0,718;0,088;4,852;500;9;30
6,03;0,72;0,088;4,846;700;9;30
6,034;0,718;0,084;4,85;900;9;30
6,04;0,722;0,084;4,858;1000;9;30
6,04;0,718;0,084;4,854;1300;9;30
6,036;0,718;0,088;4,85;1500;9;30
6,034;0,72;0,088;4,85;1700;9;30
6,04;0,72;0,086;4,852;2000;9;30
6,064;0,746;0,07;4,866;100;1;50
6,04;0,75;0,086;4,834;300;1;50
6,028;0,758;0,092;4,828;500;1;50
6,024;0,752;0,094;4,828;700;1;50
6,022;0,756;0,096;4,822;900;1;50
6,02;0,756;0,098;4,822;1000;1;50
6,024;0,754;0,098;4,826;1300;1;50
6,028;0,758;0,098;4,824;1500;1;50
6,024;0,756;0,098;4,824;1700;1;50
6,026;0,756;0,098;4,826;2000;1;50
6,012;0,798;0,092;4,81;100;2;50
5,998;0,806;0,1;4,804;300;2;50
5,988;0,81;0,106;4,786;500;2;50
5,988;0,81;0,106;4,79;700;2;50
5,994;0,812;0,104;4,792;900;2;50
5,992;0,812;0,104;4,794;1000;2;50
5,99;0,812;0,104;4,794;1300;2;50
5,986;0,812;0,104;4,79;1500;2;50
5,98;0,814;0,108;4,786;1700;2;50
5,984;0,812;0,108;4,786;2000;2;50
6,01;0,804;0,094;4,814;100;3;50
5,982;0,816;0,104;4,79;300;3;50
5,984;0,816;0,104;4,792;500;3;50
5,982;0,82;0,106;4,788;700;3;50
5,984;0,82;0,102;4,79;900;3;50
5,98;0,82;0,106;4,79;1000;3;50
5,982;0,82;0,104;4,79;1300;3;50
5,986;0,822;0,104;4,796;1500;3;50
5,988;0,822;0,104;4,798;1700;3;50
5,99;0,822;0,102;4,8;2000;3;50
6,022;0,812;0,098;4,844;100;4;50
6,01;0,822;0,096;4,814;300;4;50
6,006;0,826;0,1;4,81;500;4;50
6,002;0,826;0,1;4,808;700;4;50
6,006;0,826;0,098;4,812;900;4;50
6,002;0,826;0,1;4,808;1000;4;50
6;0,828;0,1;4,808;1300;4;50
6;0,826;0,1;4,808;1500;4;50
6,002;0,826;0,1;4,81;1700;4;50
5,998;0,826;0,1;4,808;2000;4;50
5,984;0,82;0,098;4,804;100;5;50
6,012;0,826;0,088;4,828;300;5;50
6,01;0,828;0,092;4,83;500;5;50
6,004;0,832;0,096;4,814;700;5;50
5,994;0,832;0,1;4,81;900;5;50
5,994;0,832;0,1;4,812;1000;5;50
6;0,832;0,098;4,814;1300;5;50
6,004;0,832;0,094;4,816;1500;5;50
6,002;0,832;0,096;4,814;1700;5;50
6,002;0,832;0,096;4,814;2000;5;50
6,054;0,818;0,078;4,872;100;6;50
6,012;0,828;0,094;4,832;300;6;50
6,006;0,83;0,094;4,83;500;6;50
6;0,832;0,098;4,822;700;6;50
6,006;0,834;0,096;4,824;900;6;50
6,004;0,834;0,098;4,824;1000;6;50
6,002;0,834;0,1;4,822;1300;6;50
5,996;0,834;0,102;4,816;1500;6;50
6,002;0,834;0,1;4,818;1700;6;50
6;0,836;0,1;4,818;2000;6;50
5,972;0,824;0,114;4,786;100;7;50
5,996;0,834;0,102;4,8;300;7;50
6,008;0,834;0,098;4,81;500;7;50
6,002;0,836;0,102;4,806;700;7;50
6,004;0,836;0,102;4,808;900;7;50
6,002;0,836;0,1;4,806;1000;7;50
6,008;0,838;0,098;4,812;1300;7;50
6,012;0,838;0,096;4,816;1500;7;50
6,014;0,838;0,096;4,82;1700;7;50
6,012;0,838;0,098;4,822;2000;7;50
6,07;0,826;0,078;4,868;100;8;50
6,038;0,834;0,09;4,854;300;8;50
6,026;0,832;0,094;4,84;500;8;50
6,024;0,836;0,094;4,832;700;8;50
6,022;0,838;0,092;4,828;900;8;50
6,02;0,838;0,094;4,828;1000;8;50
6,022;0,84;0,094;4,836;1300;8;50
6,024;0,838;0,094;4,832;1500;8;50
6,026;0,84;0,094;4,836;1700;8;50
6,024;0,84;0,094;4,83;2000;8;50
6,06;0,83;0,084;4,894;100;9;50
6,026;0,836;0,094;4,842;300;9;50
6,024;0,84;0,094;4,834;500;9;50
6,022;0,844;0,094;4,828;700;9;50
6,022;0,842;0,096;4,83;900;9;50
6,022;0,842;0,092;4,832;1000;9;50
6,026;0,84;0,092;4,83;1300;9;50
6,022;0,842;0,094;4,826;1500;9;50
6,018;0,842;0,094;4,826;1700;9;50
6,016;0,842;0,096;4,826;2000;9;50
6,078;0,76;0,08;4,872;100;1;70
6,05;0,78;0,088;4,85;300;1;70
6,04;0,784;0,086;4,84;500;1;70
6,038;0,782;0,092;4,832;700;1;70
6,032;0,782;0,096;4,824;900;1;70
6,026;0,78;0,096;4,822;1000;1;70
6,024;0,782;0,098;4,82;1300;1;70
6,022;0,78;0,098;4,816;1500;1;70
6,02;0,78;0,102;4,818;1700;1;70
6,018;0,782;0,102;4,814;2000;1;70
5,982;0,87;0,106;4,77;100;2;70
5,97;0,878;0,11;4,766;300;2;70
5,972;0,88;0,112;4,764;500;2;70
5,968;0,88;0,114;4,756;700;2;70
5,968;0,882;0,114;4,762;900;2;70
5,966;0,88;0,112;4,762;1000;2;70
5,964;0,882;0,114;4,76;1300;2;70
5,966;0,882;0,114;4,76;1500;2;70
5,966;0,882;0,114;4,764;1700;2;70
5,97;0,882;0,112;4,766;2000;2;70
6,008;0,874;0,098;4,802;100;3;70
5,996;0,888;0,108;4,804;300;3;70
5,988;0,888;0,108;4,802;500;3;70
5,98;0,888;0,11;4,792;700;3;70
5,972;0,888;0,112;4,786;900;3;70
5,976;0,888;0,11;4,782;1000;3;70
5,974;0,89;0,11;4,782;1300;3;70
5,98;0,89;0,108;4,786;1500;3;70
5,976;0,892;0,108;4,784;1700;3;70
5,978;0,892;0,11;4,784;2000;3;70
5,99;0,886;0,106;4,8;100;4;70
5,982;0,892;0,112;4,79;300;4;70
5,988;0,892;0,108;4,79;500;4;70
5,982;0,894;0,11;4,79;700;4;70
5,98;0,892;0,11;4,784;900;4;70
5,976;0,892;0,112;4,782;1000;4;70
5,974;0,892;0,11;4,782;1300;4;70
5,978;0,894;0,11;4,784;1500;4;70
5,98;0,894;0,11;4,788;1700;4;70
5,98;0,894;0,108;4,792;2000;4;70
6,024;0,886;0,1;4,82;100;5;70
6,006;0,894;0,102;4,81;300;5;70
5,996;0,896;0,104;4,8;500;5;70
5,994;0,896;0,104;4,804;700;5;70
5,99;0,896;0,106;4,796;900;5;70
5,992;0,896;0,106;4,798;1000;5;70
5,992;0,898;0,106;4,8;1300;5;70
5,994;0,898;0,104;4,802;1500;5;70
5,996;0,898;0,104;4,802;1700;5;70
5,996;0,9;0,104;4,806;2000;5;70
6,018;0,884;0,088;4,824;100;6;70
5,978;0,894;0,108;4,776;300;6;70
5,986;0,898;0,106;4,782;500;6;70
5,996;0,898;0,102;4,804;700;6;70
5,988;0,898;0,106;4,794;900;6;70
5,992;0,898;0,104;4,8;1000;6;70
5,998;0,898;0,104;4,804;1300;6;70
6;0,898;0,102;4,802;1500;6;70
5,996;0,898;0,104;4,798;1700;6;70
5,998;0,9;0,104;4,804;2000;6;70
6,06;0,89;0,09;4,854;100;7;70
6,044;0,896;0,092;4,842;300;7;70
6,034;0,898;0,094;4,836;500;7;70
6,028;0,9;0,096;4,834;700;7;70
6,016;0,9;0,1;4,822;900;7;70
6,016;0,9;0,102;4,82;1000;7;70
6,022;0,9;0,1;4,828;1300;7;70
6,02;0,902;0,1;4,826;1500;7;70
6,016;0,9;0,1;4,826;1700;7;70
6,018;0,902;0,1;4,826;2000;7;70
6,052;0,896;0,092;4,85;100;8;70
5,998;0,898;0,104;4,808;300;8;70
6,002;0,902;0,102;4,806;500;8;70
6,01;0,902;0,102;4,818;700;8;70
6,006;0,902;0,102;4,818;900;8;70
6,014;0,902;0,1;4,816;1000;8;70
6,014;0,902;0,102;4,82;1300;8;70
6,014;0,902;0,1;4,822;1500;8;70
6,018;0,902;0,1;4,822;1700;8;70
6,016;0,904;0,1;4,818;2000;8;70
6,082;0,894;0,078;4,868;100;9;70
6,032;0,904;0,094;4,84;300;9;70
6,022;0,904;0,098;4,834;500;9;70
6,02;0,904;0,096;4,832;700;9;70
6,014;0,904;0,098;4,824;900;9;70
6,014;0,904;0,1;4,824;1000;9;70
6,014;0,904;0,098;4,826;1300;9;70
6,022;0,904;0,096;4,832;1500;9;70
6,016;0,904;0,096;4,828;1700;9;70
6,016;0,904;0,096;4,826;2000;9;70
6,08;0,762;0,08;4,872;100;1;100
6,022;0,776;0,1;4,832;300;1;100
6,024;0,778;0,098;4,826;500;1;100
6,024;0,78;0,098;4,826;700;1;100
6,024;0,778;0,1;4,824;900;1;100
6,02;0,78;0,1;4,824;1000;1;100
6,018;0,784;0,1;4,818;1300;1;100
6,016;0,784;0,1;4,816;1500;1;100
6,02;0,782;0,1;4,824;1700;1;100
6,016;0,782;0,102;4,816;2000;1;100
6,016;0,912;0,1;4,808;100;2;100
5,986;0,924;0,106;4,794;300;2;100
5,976;0,926;0,108;4,776;500;2;100
5,972;0,926;0,11;4,776;700;2;100
5,976;0,928;0,108;4,778;900;2;100
5,978;0,928;0,108;4,778;1000;2;100
5,97;0,928;0,11;4,776;1300;2;100
5,972;0,928;0,11;4,774;1500;2;100
5,978;0,928;0,108;4,774;1700;2;100
5,972;0,928;0,11;4,77;2000;2;100
5,94;0,93;0,122;4,756;100;3;100
5,954;0,936;0,116;4,756;300;3;100
5,944;0,936;0,118;4,746;500;3;100
5,954;0,936;0,114;4,754;700;3;100
5,946;0,938;0,116;4,752;900;3;100
5,952;0,938;0,116;4,758;1000;3;100
5,952;0,938;0,116;4,758;1300;3;100
5,956;0,938;0,114;4,758;1500;3;100
5,956;0,938;0,116;4,762;1700;3;100
5,958;0,938;0,11;4,768;2000;3;100
6,022;0,928;0,102;4,812;100;4;100
6,016;0,936;0,1;4,798;300;4;100
6,014;0,938;0,1;4,806;500;4;100
5,998;0,94;0,104;4,798;700;4;100
6;0,94;0,102;4,796;900;4;100
5,996;0,94;0,106;4,794;1000;4;100
5,988;0,94;0,106;4,784;1300;4;100
5,992;0,94;0,104;4,788;1500;4;100
5,992;0,94;0,106;4,788;1700;4;100
5,99;0,94;0,106;4,79;2000;4;100
6,058;0,93;0,096;4,852;100;5;100
5,998;0,94;0,108;4,798;300;5;100
5,996;0,94;0,108;4,792;500;5;100
5,996;0,94;0,106;4,794;700;5;100
5,998;0,94;0,104;4,794;900;5;100
5,994;0,94;0,104;4,788;1000;5;100
5,992;0,94;0,108;4,786;1300;5;100
5,99;0,94;0,108;4,784;1500;5;100
5,99;0,94;0,106;4,79;1700;5;100
5,99;0,94;0,104;4,792;2000;5;100
5,98;0,93;0,106;4,78;100;6;100
6,004;0,938;0,102;4,806;300;6;100
5,996;0,94;0,104;4,804;500;6;100
5,988;0,94;0,106;4,792;700;6;100
5,986;0,94;0,102;4,79;900;6;100
5,992;0,94;0,104;4,792;1000;6;100
5,998;0,94;0,102;4,798;1300;6;100
5,996;0,94;0,104;4,796;1500;6;100
5,994;0,94;0,104;4,798;1700;6;100
5,996;0,942;0,106;4,802;2000;6;100
5,984;0,928;0,108;4,78;100;7;100
5,972;0,94;0,112;4,772;300;7;100
5,99;0,94;0,112;4,78;500;7;100
5,994;0,94;0,108;4,792;700;7;100
5,996;0,94;0,108;4,794;900;7;100
5,998;0,94;0,108;4,794;1000;7;100
5,996;0,94;0,11;4,802;1300;7;100
6;0,94;0,106;4,802;1500;7;100
6;0,94;0,106;4,804;1700;7;100
6;0,94;0,106;4,8;2000;7;100
5,98;0,932;0,11;4,778;100;8;100
5,998;0,94;0,108;4,79;300;8;100
6;0,94;0,106;4,798;500;8;100
6;0,94;0,102;4,8;700;8;100
6,008;0,942;0,102;4,808;900;8;100
6,008;0,944;0,102;4,804;1000;8;100
6,004;0,944;0,102;4,798;1300;8;100
6,006;0,944;0,102;4,8;1500;8;100
6,008;0,946;0,102;4,802;1700;8;100
6,006;0,946;0,102;4,802;2000;8;100
6,03;0,932;0,106;4,832;100;9;100
6,002;0,94;0,108;4,796;300;9;100
5,996;0,942;0,106;4,796;500;9;100
6,006;0,942;0,102;4,802;700;9;100
6,002;0,944;0,102;4,8;900;9;100
6;0,944;0,106;4,798;1000;9;100
5,996;0,944;0,106;4,794;1300;9;100
5,998;0,944;0,106;4,794;1500;9;100
6,002;0,944;0,106;4,798;1700;9;100
5,998;0,944;0,106;4,794;2000;9;100
